bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
-1,1,0.20460317460317512,4,2,0.11020408163265306,4,5.0,4,70.0,0,1
-1,1,0.20460317460317512,4,2,0.11428571428571428,4,5.122448979591836,4,69.0,0,2
-1,2,0.20460317460317423,4,4,0.10204081632653061,4,5.248979591836735,4,68.0,0,2
-1,2,0.20460317460317423,4,4,0.05102040816326531,4,5.359183673469388,4,65.0,0,4
-1,3,0.2142857142857144,4,2,0.10204081632653061,4,5.420408163265306,4,67.0,0,1
-1,3,0.2142857142857144,4,2,0.09387755102040816,4,5.53469387755102,4,64.0,0,2
-1,4,0.2142857142857144,4,2,0.07346938775510205,4,5.636734693877551,4,63.0,0,1
-1,4,0.2142857142857144,4,2,0.08163265306122448,4,5.738775510204082,4,62.0,0,2
0,1,0.20612244897959187,4,2,0.09387755102040816,4,5.828571428571428,4,59.0,0,1
0,1,0.20612244897959187,4,2,0.08571428571428572,4,5.9346938775510205,4,60.0,0,2
0,2,0.20612244897959187,4,2,0.09387755102040816,4,6.0285714285714285,4,61.0,0,1
0,2,0.20612244897959187,4,2,0.11020408163265306,4,6.134693877551021,4,64.0,0,2
0,3,0.2071428571428573,4,2,0.08571428571428572,4,6.248979591836735,4,61.0,0,1
0,3,0.2071428571428573,4,2,0.1346938775510204,4,6.355102040816327,4,60.0,0,2
0,4,0.2071428571428573,4,1,0.08979591836734693,4,6.506122448979592,4,59.0,0,1
1,1,0.20321995464852538,4,1,0.11428571428571428,4,6.685714285714286,4,58.0,0,1
1,2,0.20321995464852627,4,1,0.10204081632653061,4,6.8612244897959185,4,57.0,0,1
1,3,0.19811791383219912,4,1,0.1836734693877551,4,7.044897959183674,4,56.0,0,1
1,4,0.1981179138322,4,2,0.10612244897959183,4,7.351020408163265,4,58.0,0,2
2,1,0.19645124716553308,4,2,0.11836734693877551,4,7.5285714285714285,4,60.0,0,2
2,3,0.19846938775510115,4,1,0.1653061224489796,4,7.83469387755102,4,61.0,0,1
2,4,0.19846938775510203,4,4,0.11900226757369614,4,8.208253968253969,4,58.0,0,4
3,1,0.2013151927437633,4,2,0.11319727891156463,4,8.341768707482993,4,57.0,0,2
3,2,0.20131519274376508,4,2,0.07346938775510205,4,8.46938775510204,4,56.0,0,1
3,2,0.20131519274376508,4,2,0.053061224489795916,4,8.579591836734695,4,52.0,0,2
3,3,0.21068027210884388,4,1,0.1653061224489796,4,8.661224489795918,4,55.0,0,1
3,4,0.21068027210884388,4,1,0.13673469387755102,4,8.842857142857143,4,56.0,0,1
4,1,0.1935600907029471,4,1,0.19591836734693877,4,9.048979591836735,4,58.0,0,1
4,2,0.19356009070294888,4,2,0.09578231292517007,4,9.258956916099773,4,51.0,0,1
4,2,0.19356009070294888,4,2,0.11020408163265306,4,9.36734693877551,4,60.0,0,2
4,3,0.2063151927437641,4,2,0.10612244897959183,4,9.559183673469388,4,61.0,0,2
4,4,0.2063151927437641,4,2,0.1346938775510204,4,9.746938775510204,4,63.0,0,2
5,1,0.19638321995464736,4,1,0.07346938775510205,4,9.906122448979591,4,62.0,0,1
5,2,0.19638321995464914,4,2,0.1,4,10.151020408163266,4,56.0,0,2
5,3,0.20605442176870703,4,1,0.15510204081632653,4,10.269387755102041,4,55.0,0,1
5,4,0.2060544217687088,4,4,0.10612244897959183,4,10.453061224489796,4,56.0,0,1
5,4,0.2060544217687088,4,4,0.19591836734693877,4,10.63265306122449,4,65.0,0,4
6,1,0.20306122448979558,4,4,0.11836734693877551,4,10.848979591836734,4,67.0,0,4
6,3,0.20614512471655289,4,1,0.1306122448979592,4,11.057142857142857,4,68.0,0,1
6,4,0.20614512471655466,4,2,0.10408163265306122,4,11.371428571428572,4,67.0,0,2
7,1,0.1834013605442184,4,2,0.09795918367346938,4,11.577551020408164,4,66.0,0,2
7,2,0.18340136054421663,4,3,0.09795918367346938,4,11.685714285714285,4,65.0,0,1
7,2,0.18340136054421663,4,3,0.07346938775510205,4,11.812244897959184,4,62.0,0,3
7,3,0.2062018140589572,4,1,0.1469387755102041,4,11.889795918367346,4,64.0,0,1
7,4,0.20620181405895543,4,1,0.17959183673469387,4,12.071428571428571,4,65.0,0,1
8,2,0.2110544217687078,4,1,0.14285714285714285,4,12.481632653061224,4,67.0,0,1
9,1,0.20608843537415034,4,2,0.11428571428571428,4,13.187755102040816,4,65.0,0,2
9,2,0.20608843537415034,4,1,0.07551020408163266,4,13.308163265306122,4,64.0,0,1
9,3,0.19314058956916114,4,1,0.30612244897959184,4,13.493877551020407,4,63.0,0,1
9,4,0.19314058956915936,4,2,0.1,4,13.824489795918367,4,60.0,0,2
10,1,0.20122448979591923,4,2,0.26326530612244897,4,14.010204081632653,4,65.0,0,2
10,3,0.2095691609977326,4,1,0.14285714285714285,4,14.306122448979592,4,68.0,0,1
10,4,0.20956916099773082,4,1,0.12653061224489795,4,14.53061224489796,4,63.0,0,1
11,1,0.20769841269841294,4,1,0.24897959183673468,4,14.730612244897959,4,62.0,0,1
11,2,0.20769841269841294,4,2,0.10204081632653061,4,15.03265306122449,4,63.0,0,2
11,3,0.18883219954648567,4,2,0.10408163265306122,4,15.214285714285714,4,65.0,0,2
11,4,0.18883219954648567,4,2,0.1073922902494331,4,15.409342403628118,4,58.0,0,2
12,1,0.2056689342403626,4,1,0.19183673469387755,4,15.53061224489796,4,67.0,0,1
12,2,0.2056689342403626,4,1,0.17551020408163265,4,15.73469387755102,4,68.0,0,1
12,3,0.20342403628117722,4,1,0.19183673469387755,4,15.922448979591836,4,70.0,0,1
12,4,0.20342403628118078,4,1,0.19591836734693877,4,16.1265306122449,4,63.0,0,1
13,4,0.1985941043083912,4,2,0.09795918367346938,4,17.00204081632653,4,63.0,0,2
14,1,0.1963492063492076,4,2,0.10612244897959183,4,17.195918367346938,4,60.0,0,2
14,2,0.19634920634920405,4,2,0.09795918367346938,4,17.306122448979593,4,57.0,0,1
14,2,0.19634920634920405,4,2,0.08163265306122448,4,17.420408163265307,4,55.0,0,2
14,3,0.1930952380952391,4,2,0.053061224489795916,4,17.522448979591836,4,54.0,0,1
14,3,0.1930952380952391,4,2,0.12040816326530612,4,17.602040816326532,4,63.0,0,2
14,4,0.19309523809523554,4,2,0.061224489795918366,4,17.73469387755102,4,60.0,0,1
14,4,0.19309523809523554,4,2,0.07755102040816327,4,17.81020408163265,4,61.0,0,2
15,1,0.20784580498866134,4,2,0.08571428571428572,4,17.918367346938776,4,62.0,0,1
15,1,0.20784580498866134,4,2,0.09795918367346938,4,18.024489795918367,4,61.0,0,2
15,2,0.2078458049886649,4,2,0.10204081632653061,4,18.1265306122449,4,60.0,0,1
15,2,0.2078458049886649,4,2,0.04285714285714286,4,18.248979591836736,4,55.0,0,2
15,3,0.19975056689342452,4,2,0.07755102040816197,4,18.322448979591837,4,59.0,0,1
15,3,0.19975056689342452,4,2,0.13877551020408163,4,18.4,4,64.0,0,2
15,4,0.19975056689342452,4,1,0.12653061224489795,4,18.559183673469388,4,63.0,0,1
16,1,0.20617913832199264,4,2,0.1,4,18.726530612244897,4,62.0,0,1
16,1,0.20617913832199264,4,2,0.05510204081632653,4,18.83877551020408,4,59.0,0,2
16,2,0.2061791383219962,4,2,0.10612244897959183,4,18.922448979591838,4,55.0,0,1
16,2,0.2061791383219962,4,2,0.10204081632653061,4,19.044897959183672,4,54.0,0,2
16,3,0.19317460317460444,4,1,0.10612244897959183,4,19.163265306122447,4,53.0,0,1
16,4,0.19317460317460444,4,1,0.2857142857142857,4,19.33469387755102,4,52.0,0,1
