bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
-2,3,0.44043083900226776,4,3,0.22784580498866214,4,3.841451247165533,4,60.0,0,1
-2,3,0.44043083900226776,4,3,0.09591836734693877,4,4.116326530612245,4,61.0,0,3
-2,4,0.4374149659863944,4,2,0.18571428571428572,4,4.281632653061225,4,60.0,0,1
-2,4,0.4374149659863944,4,2,0.16399092970521542,4,4.511927437641724,4,61.0,0,2
-1,1,0.4417687074829937,4,2,0.1581859410430839,4,4.709297052154195,4,60.0,0,1
-1,1,0.4417687074829937,4,2,0.14802721088435375,4,4.911020408163266,4,61.0,0,2
-1,2,0.43750566893424025,4,1,0.2089795918367347,4,5.0967800453514736,4,63.0,0,1
-1,3,0.45140589569161005,4,1,0.44117913832199546,4,5.508934240362811,4,63.0,0,1
-1,4,0.4471428571428566,4,1,0.4005442176870748,4,6.0081632653061225,4,63.0,0,1
0,1,0.44086167800453513,4,2,0.2,4,6.444897959183673,4,63.0,0,1
0,1,0.44086167800453513,4,2,0.13931972789115646,4,6.675736961451247,4,64.0,0,2
0,2,0.4373015873015875,4,2,0.21623582766439908,4,6.867301587301587,4,66.0,0,1
0,2,0.4373015873015875,4,2,0.17414965986394557,4,7.099501133786848,4,64.0,0,2
0,3,0.4576190476190476,4,1,0.5688888888888889,4,7.349115646258503,4,63.0,0,1
0,4,0.4663492063492072,4,2,0.13351473922902493,4,8.005079365079364,4,60.0,0,2
1,1,0.4415873015873011,4,3,0.29024943310657597,4,8.227120181405896,4,58.0,0,1
1,1,0.4415873015873011,4,3,0.44117913832199546,4,8.543492063492064,4,58.0,0,3
1,2,0.4373922902494325,4,6,0.2857142857142857,4,9.081632653061224,4,58.0,0,6
2,1,0.45687074829931973,4,4,0.0783673469387755,4,10.105759637188209,4,57.0,0,2
2,1,0.45687074829931973,4,4,0.08634920634920636,4,10.221133786848073,4,58.0,0,3
