bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
15,1,0.2754195011337863,4,2,0.14512471655328799,4,20.43936507936508,4,67.0,0,1
15,1,0.2754195011337863,4,2,0.08707482993197278,4,20.5902947845805,4,69.0,0,2
15,2,0.28564625850340164,4,2,0.11609977324263039,4,20.718004535147394,4,70.0,0,1
15,2,0.28564625850340164,4,2,0.10448979591836735,4,20.85732426303855,4,72.0,0,2
15,3,0.3059410430839016,4,2,0.13351473922902493,4,20.985034013605443,4,74.0,0,1
15,3,0.3059410430839016,4,2,0.11609977324263039,4,21.141768707482992,4,75.0,0,2
15,4,0.2659410430838989,4,3,0.10448979591836735,4,21.269478458049885,4,76.0,0,1
15,4,0.2659410430838989,4,3,0.052244897959183675,4,21.466848072562357,4,76.0,0,3
16,1,0.3059637188208626,4,1,0.4295691609977324,4,21.54231292517007,4,77.0,0,1
16,2,0.2931519274376413,4,2,0.11609977324263039,4,22.01251700680272,4,76.0,0,2
16,3,0.29582766439909136,4,2,0.12770975056689343,4,22.16344671201814,4,75.0,0,1
16,3,0.29582766439909136,4,2,0.09868480725623582,4,22.343401360544217,4,74.0,0,2
16,4,0.268185941043086,4,2,0.11609977324263039,4,22.593015873015872,4,79.0,0,2
17,1,0.29310657596371925,4,4,0.08707482993197278,4,22.87746031746032,4,72.0,0,3
17,1,0.29310657596371925,4,4,0.17414965986394557,4,22.97034013605442,4,73.0,0,4
17,2,0.2861678004535122,4,2,0.10448979591836735,4,23.173514739229024,4,70.0,0,2
17,3,0.28748299319727977,4,2,0.1509297052154195,4,23.283809523809524,4,72.0,0,1
17,3,0.28748299319727977,4,2,0.08707482993197278,4,23.469569160997732,4,70.0,0,2
17,4,0.28551020408163197,4,2,0.1509297052154195,4,23.56825396825397,4,67.0,0,1
17,4,0.28551020408163197,4,2,0.08707482993197278,4,23.748208616780044,4,65.0,0,2
18,1,0.2939229024943337,4,1,0.5340589569160997,4,23.893333333333334,4,70.0,0,1
18,3,0.2941269841269829,4,2,0.1219047619047619,4,24.450612244897957,4,67.0,0,1
18,3,0.2941269841269829,4,2,0.13351473922902493,4,24.624761904761904,4,65.0,0,2
18,4,0.2678231292517026,4,2,0.08707482993197278,4,24.91501133786848,4,65.0,0,2
