bar,beat,beatdur,denom,division,duration,num,onset,period,pitch,subtatum,tatum
0,3,0.595056689342405,4,4,0.2786394557823129,4,8.93968253968254,4,51.0,0,4
0,4,0.7720181405895676,4,3,0.29024943310657597,4,9.218321995464853,4,51.0,0,2
0,4,0.7720181405895676,4,3,0.37151927437641724,4,9.508571428571429,4,51.0,0,3
1,2,0.6754648526077105,4,4,0.19156462585034015,4,10.58249433106576,4,51.0,0,2
1,2,0.6754648526077105,4,4,0.14510204081632652,4,10.80888888888889,4,53.0,0,3
1,2,0.6754648526077105,4,4,0.19736961451247165,4,10.953990929705215,4,54.0,0,4
1,3,0.5907256235827667,4,6,0.02857142857142857,4,11.175510204081633,4,53.0,0,1
1,3,0.5907256235827667,4,6,0.02857142857142857,4,11.208163265306123,4,54.0,0,2
1,3,0.5907256235827667,4,6,0.7714285714285715,4,11.273469387755101,4,53.0,0,3
1,4,0.6451700680272108,4,4,0.18285714285714286,4,12.228571428571428,4,51.0,0,4
2,1,0.6900680272108843,4,4,0.34829931972789113,4,12.590997732426304,4,58.0,0,2
2,1,0.6900680272108843,4,4,0.28444444444444444,4,12.945102040816327,4,58.0,0,4
2,2,0.6648526077097507,4,2,0.4992290249433107,4,13.270204081632652,4,58.0,0,2
2,4,0.620045351473923,4,4,0.17414965986394557,4,14.477596371882086,4,50.0,0,2
2,4,0.620045351473923,4,4,0.17705215419501133,4,14.657596371882086,4,57.0,0,3
2,4,0.620045351473923,4,4,0.17351473922902372,4,14.834648526077098,4,50.0,0,4
3,1,0.7095011337868478,4,2,0.1673469387755102,4,15.008163265306122,4,56.0,0,1
3,1,0.7095011337868478,4,2,0.2786394557823129,4,15.253061224489796,4,49.0,0,2
3,3,0.585374149659863,4,3,0.17414965986394557,4,16.329410430839,4,58.0,0,1
3,3,0.585374149659863,4,3,0.156734693877551,4,16.51519274376417,4,56.0,0,2
3,3,0.585374149659863,4,3,0.4527891156462585,4,16.689297052154195,4,53.0,0,3
3,4,0.6353514739229027,4,3,0.25541950113378686,4,17.153696145124716,4,56.0,0,2
3,4,0.6353514739229027,4,3,0.12770975056689343,4,17.426598639455783,4,58.0,0,3
4,1,0.6560317460317471,4,3,0.16600907029478407,4,17.58909297052154,4,60.0,0,1
4,1,0.6560317460317471,4,3,0.8408163265306122,4,17.755102040816325,4,63.0,0,2
4,2,0.645170068027209,4,4,0.19149659863945578,4,18.692108843537415,4,61.0,0,4
4,3,0.6550340136054409,4,1,0.673469387755102,4,18.90204081632653,4,60.0,0,1
4,4,0.6255782312925184,4,6,0.036734693877551024,4,19.60816326530612,4,61.0,0,2
4,4,0.6255782312925184,4,6,0.061224489795918366,4,19.66530612244898,4,62.0,0,3
4,4,0.6255782312925184,4,6,0.27346938775510204,4,19.76326530612245,4,63.0,0,4
5,1,0.6452154195011346,4,1,0.6693877551020408,4,20.114285714285714,4,58.0,0,1
5,3,0.6452380952380956,4,9,0.17907029478458014,4,21.484308390022676,4,58.0,0,2
5,3,0.6452380952380956,4,9,0.02981859410430839,4,21.663378684807256,4,58.0,0,4
5,3,0.6452380952380956,4,9,0.12770975056689343,4,21.693197278911565,4,60.0,0,5
5,3,0.6452380952380956,4,9,0.11600907029478458,4,21.820997732426303,4,61.0,0,7
5,3,0.6452380952380956,4,9,0.20317460317460317,4,22.024104308390022,4,61.0,0,9
5,4,0.6102494331065778,4,5,0.04081632653061224,4,22.23673469387755,4,58.0,0,2
5,4,0.6102494331065778,4,5,0.04587301587301587,4,22.285714285714285,4,61.0,0,3
5,4,0.6102494331065778,4,5,0.09387755102040816,4,22.346938775510203,4,58.0,0,4
5,4,0.6102494331065778,4,5,0.16834467120181407,4,22.563990929705216,4,54.0,0,5
6,1,0.63002267573696,4,2,0.08517006802721089,4,22.75575963718821,4,51.0,0,1
6,1,0.63002267573696,4,2,0.8408163265306122,4,22.922448979591838,4,53.0,0,2
6,3,0.655102040816324,4,6,0.17532879818594105,4,23.91310657596372,4,48.0,0,1
6,3,0.655102040816324,4,6,0.08571428571428572,4,24.13061224489796,4,51.0,0,3
6,3,0.655102040816324,4,6,0.11625850340136054,4,24.23673469387755,4,53.0,0,4
6,3,0.655102040816324,4,6,0.12301587301587301,4,24.36326530612245,4,57.0,0,5
6,3,0.655102040816324,4,6,0.1702267573696145,4,24.502902494331067,4,60.0,0,6
6,4,0.671133786848074,4,1,0.39591836734693875,4,24.681632653061225,4,51.0,0,1
7,2,0.6689115646258514,4,8,0.11428571428571428,4,25.926530612244896,4,49.0,0,2
7,2,0.6689115646258514,4,8,0.13929705215419502,4,26.087596371882086,4,51.0,0,4
7,2,0.6689115646258514,4,8,0.18575963718820862,4,26.22689342403628,4,53.0,0,6
7,2,0.6689115646258514,4,8,0.2089795918367347,4,26.464897959183673,4,56.0,0,8
7,3,0.6515873015873019,4,1,0.3836734693877551,4,26.681632653061225,4,54.0,0,1
7,4,0.6773242630385496,4,4,0.16834467120181407,4,27.19639455782313,4,49.0,0,1
7,4,0.6773242630385496,4,4,0.08571428571428572,4,27.367346938775512,4,52.0,0,2
7,4,0.6773242630385496,4,4,0.11428571428571428,4,27.481632653061226,4,53.0,0,3
7,4,0.6773242630385496,4,4,0.1509297052154195,4,27.658707482993197,4,56.0,0,4
8,1,0.5731065759637168,4,1,0.603718820861678,4,27.820090702947844,4,49.0,0,1
8,2,0.6486848072562346,4,3,0.2147845804988662,4,28.444897959183674,4,51.0,0,1
8,2,0.6486848072562346,4,3,0.12213151927437642,4,28.680408163265305,4,53.0,0,2
8,2,0.6486848072562346,4,3,0.24356009070294785,4,28.80253968253968,4,56.0,0,3
8,3,0.7062131519274395,4,4,0.09952380952380953,4,29.04609977324263,4,59.0,0,1
8,3,0.7062131519274395,4,4,0.43673469387755104,4,29.23673469387755,4,50.0,0,2
8,4,0.6755102040816325,4,10,0.1984580498866213,4,29.74154195011338,4,51.0,0,1
8,4,0.6755102040816325,4,10,0.11199546485260771,4,29.94,4,53.0,0,4
8,4,0.6755102040816325,4,10,0.10612244897959183,4,30.10612244897959,4,56.0,0,6
8,4,0.6755102040816325,4,10,0.08163265306122448,4,30.261224489795918,4,59.0,0,8
8,4,0.6755102040816325,4,10,0.8653061224489796,4,30.408163265306122,4,51.0,0,10
9,3,0.6190702947845814,4,4,0.156734693877551,4,31.896303854875285,4,53.0,0,3
